Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
3jneRp3u2YnHGcgCCKLNPe6iseccMtbDvQdEvyGUsCW78dpJpUCMnKMhJMVWiqyXiWJ6kgPr53YZzojoJDk6NDLS,1768019559,2026-01-10T04:32:39.000Z,TRANSFER,b59HHkFpg3g9yBwwLcuDH6z1d6d6z3vdGWX7mkX3txH,Hdis8UF9taoujEkzzV524b7SHbXAPeVRoeg7zDWk4C2h,6802443,out,0.9233,9,SOL,1.0
5Me4fo8mm48gLzc3moQNXgQejU8V2xpjnTfafBjRSqfXJe6kmeQ6kCWUmKLC4kPxMV9RVzgtqDiLRCa6i22WjX5g,1768009202,2026-01-10T01:40:02.000Z,CLOSE ACCOUNT,b59HHkFpg3g9yBwwLcuDH6z1d6d6z3vdGWX7mkX3txH,b59HHkFpg3g9yBwwLcuDH6z1d6d6z3vdGWX7mkX3txH,2039280,out,0.2774,9,SOL,1.0
5Me4fo8mm48gLzc3moQNXgQejU8V2xpjnTfafBjRSqfXJe6kmeQ6kCWUmKLC4kPxMV9RVzgtqDiLRCa6i22WjX5g,1768009202,2026-01-10T01:40:02.000Z,CREATE ACCOUNT,b59HHkFpg3g9yBwwLcuDH6z1d6d6z3vdGWX7mkX3txH,HMJDy1XQUM7LmAYJ4tMSvn3fM8ATts3YjtaQnDi6pRF8,2039280,out,0.2774,9,SOL,1.0
416FQTCcHkbkYRtM8JdPuxYAnce1qk651DDMAkNfJtg8zKGHXz7haHJUhTRtCQkMzwhCpDZBMpg3Umxt6VLC5Rc4,1766415828,2025-12-22T15:03:48.000Z,TRANSFER,b59HHkFpg3g9yBwwLcuDH6z1d6d6z3vdGWX7mkX3txH,AWy2zS69uG3wJdVUxvYEQikfvPE2ukdeSFhDLCrNvKdG,50000000,out,6.3934,9,SOL,1.0
2tjY45WkcSBDVbP4f6Nzm6X1Xw5hVXq4Yg7uVrFnCyvEmucyQe5CN64Bv1LVTCRRWiqknomo5cLbKR46E5D3oeLs,1766411731,2025-12-22T13:55:31.000Z,CLOSE ACCOUNT,b59HHkFpg3g9yBwwLcuDH6z1d6d6z3vdGWX7mkX3txH,b59HHkFpg3g9yBwwLcuDH6z1d6d6z3vdGWX7mkX3txH,2039280,out,0.2584,9,SOL,1.0
2tjY45WkcSBDVbP4f6Nzm6X1Xw5hVXq4Yg7uVrFnCyvEmucyQe5CN64Bv1LVTCRRWiqknomo5cLbKR46E5D3oeLs,1766411731,2025-12-22T13:55:31.000Z,CREATE ACCOUNT,b59HHkFpg3g9yBwwLcuDH6z1d6d6z3vdGWX7mkX3txH,HMJDy1XQUM7LmAYJ4tMSvn3fM8ATts3YjtaQnDi6pRF8,2039280,out,0.2584,9,SOL,1.0
2tjY45WkcSBDVbP4f6Nzm6X1Xw5hVXq4Yg7uVrFnCyvEmucyQe5CN64Bv1LVTCRRWiqknomo5cLbKR46E5D3oeLs,1766411731,2025-12-22T13:55:31.000Z,CREATE ACCOUNT,b59HHkFpg3g9yBwwLcuDH6z1d6d6z3vdGWX7mkX3txH,CzoLrU9LndJSRyDxPXvNUjsXCWcCM5r5637YrdddeUPp,2039280,out,0.2584,9,SOL,1.0
2tjY45WkcSBDVbP4f6Nzm6X1Xw5hVXq4Yg7uVrFnCyvEmucyQe5CN64Bv1LVTCRRWiqknomo5cLbKR46E5D3oeLs,1766411731,2025-12-22T13:55:31.000Z,TRANSFER,Gzth3VHbmZq9WdQGdA2kbhRTRAFycRJvmJPgbqXiCmq8,b59HHkFpg3g9yBwwLcuDH6z1d6d6z3vdGWX7mkX3txH,2962964,in,0.3754,9,SOL,1.0
EYKeMF7xHgP5qtG62Kays7bRez3SNDbHpW4zqZnFmiyJpKcniyir6k5gykpuqX9Udf9ajqX52nSXYDg33vLHnsQ,1766411221,2025-12-22T13:47:01.000Z,TRANSFER,b59HHkFpg3g9yBwwLcuDH6z1d6d6z3vdGWX7mkX3txH,62qc2CNXwrYqQScmEdiZFFAnJR262PxWEuNQtxfafNgV,93828,out,0.01187,9,SOL,1.0
EYKeMF7xHgP5qtG62Kays7bRez3SNDbHpW4zqZnFmiyJpKcniyir6k5gykpuqX9Udf9ajqX52nSXYDg33vLHnsQ,1766411221,2025-12-22T13:47:01.000Z,TRANSFER,b59HHkFpg3g9yBwwLcuDH6z1d6d6z3vdGWX7mkX3txH,6EdZkLD3iauWivkopzBiJeV3EkdBSp3jdnZtq2rNm8V,9876542,out,1.2495,9,SOL,1.0
